hr_lang,Akan,Atikamekw,Bambara,Bhojpuri,Cantonese,Chichewa,Coptic,Dagbani,Greenlandic (South),Guaraní,Kashmiri,Komi-Zyrian,Koryak,Kurmanji,Madurese,Nanai,Quiché,Romani (Lovari),Rundi,Samoan,Sesotho,Shor,Sranan,Swati,Tabassaran,Tat (Muslim),Tofa,Tsakhur,Tsonga,Udi,Yukaghir (Kolyma)
Avar,0.24666469018677736,0.31985479479681356,0.25785340314136124,0.020226537216828478,0.0431095406360424,0.21555823692242174,0.6615384615384615,0.2356742257985857,0.32783997987168195,0.2948717948717949,0.4125061789421651,0.85464880227365,0.6918889911070224,0.21374407582938387,0.25391156462585035,0.8143135345666991,0.20598232494901428,0.19869529763522698,0.22749940631678936,0.2966523605150215,0.24731926668972673,0.7629619020338012,0.31705400246996746,0.21048229718427655,0.8587434973989596,0.9149715215622457,0.6680672268907563,0.858574356638579,0.2328807267754225,0.8663007683863886,0.8741159830268741
Azerbaijani,0.8839312184998518,0.8998689119693456,0.9046882436934793,0.13268608414239483,0.22685512367491167,0.880687060827596,0.5692307692307692,0.8972201901975128,0.89256510252862,0.8824786324786325,0.5029658922392486,0.5046691027202599,0.46695798834713276,0.8772511848341232,0.8702380952380953,0.5697176241480039,0.902787219578518,0.8063332427290024,0.8695084303015911,0.8918454935622318,0.8762538913870633,0.4334001718705242,0.8982822499157965,0.8482483040609609,0.44797919167667066,0.5268510984540277,0.4173669467787115,0.563880664996584,0.8792615023932793,0.45049396267837544,0.5327675624705328
Balinese,0.5752297657871331,0.6560451749521025,0.6649214659685864,0.042071197411003236,0.06925795053003533,0.59109943927887,0.6153846153846154,0.6150938795415752,0.6379418794816958,0.6773504273504274,0.17795353435491842,0.015022330491270807,0.1325513646120822,0.6004739336492891,0.7789965986394558,0.18500486854917234,0.6893269884432359,0.47757542810546344,0.6150558062218,0.6030901287553648,0.6029055690072639,0.10741907762818677,0.6545413719546425,0.578384908465756,0.03181272509003601,0.0467860048820179,0.021708683473389355,0.10430425871099977,0.6138517143694442,0.0283205268935236,0.05421970768505422
Bashkir,0.6288911947820931,0.6713723908440052,0.6153022370299858,0.09061488673139159,0.22473498233215547,0.5825111789339201,0.8,0.6085101194830529,0.642973958988552,0.6239316239316239,0.5218734552644587,0.9772634997969956,0.8840079730144128,0.542654028436019,0.5789965986394557,0.9619279454722492,0.5547246770904147,0.5214732264202229,0.5730230349085728,0.6402575107296138,0.5952092701487375,0.9816671440847895,0.6411810935219491,0.5530155190038101,0.9637855142056823,0.9943043124491456,0.9684873949579832,0.9569574128900022,0.5770245189020221,0.989681668496158,0.9872701555869873
Basque,0.8238215238659946,0.8840375113441565,0.873988576868158,0.055825242718446605,0.16537102473498233,0.8351195968486053,0.5076923076923077,0.8289441599609851,0.8475279909422568,0.8888888888888888,0.24802273850716758,0.09338205440519691,0.203081876724931,0.7402843601895734,0.8183673469387756,0.27332035053554044,0.8348062542488104,0.7655612938298451,0.8195203039658039,0.8521030042918455,0.8317191283292978,0.16413635061586937,0.8701021668350736,0.7897964873153053,0.09143657462985194,0.12855980471928397,0.12044817927170869,0.20200409929401048,0.8257301943928885,0.09615806805708013,0.15134370579915135
Belorussian,0.9304032018974207,0.932439245739639,0.934316991908615,0.15453074433656958,0.34275618374558303,0.9190148342678686,0.7846153846153846,0.9333089490368203,0.9100515788149453,0.9252136752136753,0.5425111220958971,0.7239139261063744,0.6675866298681387,0.928436018957346,0.8921768707482993,0.6944498539435249,0.8966689326988443,0.8463577058983419,0.9078603657088578,0.9278969957081545,0.9124005534417157,0.6300486966485248,0.9284832154485236,0.8960133816559799,0.6580632252901161,0.6586655817737999,0.6491596638655462,0.7273969483033478,0.9132558366708997,0.6794731064763996,0.693069306930693
Bengali,0.8222650459531574,0.80639306241807,0.7992622560685388,0.40048543689320387,0.1519434628975265,0.7894811555113919,0.676923076923077,0.8143135820531577,0.7782110957353127,0.7948717948717948,0.4107760751359367,0.13032886723507917,0.20921496473474394,0.6663507109004739,0.753061224489796,0.2674780915287244,0.7158395649218219,0.6876189181842892,0.7378294941819046,0.8271244635193133,0.7864060878588723,0.16585505585792037,0.7956663298529246,0.759594833193941,0.1092436974789916,0.16232709519934907,0.14985994397759103,0.22158961512184014,0.7771808146918042,0.11657519209659714,0.17727487034417727
Bikol,0.8119626445300919,0.8168801048704245,0.8202046644455021,0.052588996763754045,0.22120141342756183,0.8078642912910782,0.6,0.8391855644964643,0.7792175116366838,0.8247863247863247,0.24592189817103313,0.06658546488022736,0.18337933149340693,0.6497630331753554,0.7988095238095239,0.2444985394352483,0.7532290958531611,0.6835417232943735,0.7688197577772501,0.8211158798283262,0.7957454168107921,0.14064737897450588,0.8085775232962839,0.766657373850014,0.0782312925170068,0.10089503661513426,0.08333333333333333,0.17080391710316556,0.801113607502198,0.07771679473106477,0.1074964639321075
Breton,0.9089089831010969,0.923363920540486,0.9269395525940028,0.24029126213592233,0.3300353356890459,0.8932500532330186,0.7384615384615385,0.8945379175810778,0.895081142282048,0.9465811965811965,0.4154720711814137,0.31912302070645554,0.3304201165286722,0.8317535545023697,0.8752551020408164,0.4035053554040896,0.8715159755268524,0.8345338407175863,0.8744953692709571,0.9140772532188841,0.8976997578692494,0.3024921226009739,0.9197260581565061,0.8684137161973794,0.2579031612645058,0.354759967453214,0.3795518207282913,0.37964017308130266,0.8935234932109016,0.2735455543358946,0.3606789250353607
Bulgarian,0.8058108508745924,0.8157708984571947,0.7742741551642075,0.156957928802589,0.2812720848056537,0.7693945631343602,0.6615384615384615,0.7854181906851987,0.7803497295257265,0.8076923076923077,0.5291646070192783,0.8761672756800649,0.8170039865072064,0.6611374407582938,0.7170068027210884,0.9098344693281402,0.7042828008157715,0.6936667572709976,0.7032771313227262,0.8104721030042918,0.7653061224489796,0.8222572328845603,0.7934209049062535,0.7154539540934858,0.898359343737495,0.9393816110659072,0.6932773109243697,0.8961512184012753,0.7353716909250757,0.9108671789242591,0.8755304101838756
Buriat,0.23925289060183813,0.3005949379852778,0.23845787720133269,0.020226537216828478,0.03745583038869258,0.20107885584498544,0.36923076923076925,0.23177273835649842,0.2706000754811926,0.2948717948717949,0.3444142362827484,0.8984977669508729,0.7533731984053971,0.22085308056872038,0.23112244897959183,0.8238558909444985,0.21753908905506458,0.18666757270997553,0.21253858940869153,0.25287553648068667,0.2196471809062608,0.8239759381266113,0.2825867295385652,0.19719356937087631,0.8797519007603041,0.9100895036615134,0.8088235294117647,0.8726941471191073,0.21353912278987985,0.9108671789242591,0.9622819424799622
Burmese,0.7760895345389861,0.7463950791570031,0.7088291289861971,0.13187702265372167,0.39151943462897526,0.7457591028461921,0.6923076923076923,0.7666422823701536,0.7083909925776827,0.7243589743589743,0.31092436974789917,0.09297604547300041,0.19150567310640906,0.5720379146919431,0.6819727891156463,0.24703018500486854,0.6349422161794698,0.6161321011144333,0.6593445737354547,0.7721888412017167,0.7404012452438603,0.15024348324262388,0.7338048725721342,0.6901774927980671,0.09023609443777511,0.1224572823433686,0.10294117647058823,0.19016169437485766,0.7144671290417114,0.09725576289791438,0.15087223008015088
Catalan,0.9396679513785947,0.9539175153776344,0.947405997144217,0.15210355987055016,0.5554770318021202,0.9308680530910639,0.7230769230769231,0.9426969031943429,0.9284186690149704,0.9529914529914529,0.3711072664359862,0.30085261875761266,0.3357865685372585,0.8530805687203792,0.9047619047619048,0.4061343719571568,0.9218218898708361,0.8999728187007339,0.9115412016148183,0.94068669527897,0.9296091317883085,0.2832999140647379,0.9346581340518694,0.9084657559706347,0.24909963985594238,0.33319772172497963,0.29971988795518206,0.36984741516738784,0.9280062518315912,0.2570801317233809,0.3286185761433286
Chechen,0.2634894752445894,0.3489966723807603,0.2701094716801523,0.020226537216828478,0.04240282685512368,0.22336574632692172,0.4153846153846154,0.2524993903925872,0.3016731664360297,0.32905982905982906,0.3892733564013841,0.8838814453917986,0.7431002759889604,0.25118483412322273,0.24906462585034014,0.8070107108081792,0.23725356900067981,0.2082087523783637,0.25136547138446924,0.28,0.24437910757523348,0.8264107705528502,0.31885034242730437,0.22023975466964038,0.8913565426170468,0.9267697314890154,0.7759103641456583,0.8929628786153496,0.23747191560027353,0.9220636663007684,0.9240924092409241
Chukchi,0.19967388081826268,0.19774125239487747,0.19264635887672538,0.020226537216828478,0.03392226148409894,0.1645964937185038,0.3230769230769231,0.20458424774445258,0.2147439929550887,0.3782051282051282,0.2967128027681661,0.8412505075111653,0.6681999386691199,0.27535545023696684,0.19226190476190477,0.6889970788704965,0.2929979605710401,0.1613210111443327,0.1842792685822845,0.19012875536480686,0.18384641992390177,0.7864508736751648,0.23262602447513192,0.17154539540934857,0.8001200480192077,0.8209926769731489,0.7549019607843137,0.8132543839672056,0.18101006154146723,0.8390779363336992,0.8958038661008958
Chuvash,0.2900978357545212,0.3730967026318443,0.29271775345073775,0.020226537216828478,0.04098939929328622,0.2506920292426716,0.36923076923076925,0.29017312850524263,0.3400427726758083,0.36752136752136755,0.36406327236777064,0.8932196508323184,0.7652560564244096,0.2772511848341232,0.28469387755102044,0.8715676728334956,0.29163834126444593,0.23742864908942649,0.2578959867014961,0.31072961373390556,0.27637495676236595,0.8212546548266972,0.34871449421803075,0.24068395130564074,0.8895558223289316,0.9235150528885273,0.7219887955182073,0.8806649965839216,0.2668750610530429,0.9163556531284303,0.917963224893918
Cornish,0.5446931514971836,0.580014117172532,0.5777010947168015,0.032362459546925564,0.07491166077738516,0.5267229753708567,0.47692307692307695,0.5251158254084369,0.5809535790665492,0.6260683760683761,0.18091942659416707,0.06902151847340642,0.14067770622508433,0.5175355450236967,0.5368197278911565,0.2002921129503408,0.5112168592794017,0.4485593911388964,0.5005936832106388,0.5738197424892704,0.5405569007263923,0.12217129762245775,0.627484001347255,0.49056779109748166,0.06322529011604641,0.0919446704637917,0.08263305322128851,0.13778182646322024,0.5272052359089577,0.059275521405049394,0.10561056105610561
Czech,0.9209160984286985,0.9340526368861551,0.9268205616373155,0.11974110032362459,0.3215547703180212,0.9127688267442686,0.7230769230769231,0.9295293830772983,0.9065291231601459,0.9358974358974359,0.3310677212061295,0.3016646366220057,0.33172339773075743,0.7900473933649289,0.8829931972789116,0.4040895813047712,0.8966689326988443,0.8621228594726827,0.8823319876513892,0.9208583690987124,0.9136976824628157,0.2805786307648238,0.9333108790838667,0.8851407861722889,0.24349739895958383,0.33116354759967453,0.3004201680672269,0.37371897062172627,0.9081762235029794,0.2610318331503842,0.3465346534653465
Danish,0.3635487696412689,0.34052636886155085,0.3698238933841028,0.019417475728155338,0.045229681978798585,0.353254311874512,0.24615384615384617,0.38185808339429406,0.4552773933828155,0.5,0.09700939199209095,0.016240357287860333,0.10196258816314015,0.43412322274881515,0.3766156462585034,0.11324245374878286,0.4309993201903467,0.34112530578961675,0.3128710520066493,0.3666952789699571,0.37383258388101004,0.07232884560297909,0.4360615246435388,0.3298949911718242,0.031212484993997598,0.0467860048820179,0.024509803921568627,0.09542245502163517,0.3613363290026375,0.02854006586169045,0.052805280528052806
Dargwa,0.11399347761636526,0.15105374609256833,0.10423607805806759,0.019417475728155338,0.0176678445229682,0.09390304492866776,0.2923076923076923,0.1097293343087052,0.15335262297144295,0.10256410256410256,0.2958477508650519,0.7941534713763703,0.5690739037105182,0.1,0.10935374149659864,0.7066212268743914,0.06254248810333107,0.08752378363685784,0.08038470672049394,0.1296137339055794,0.10152196471809062,0.6627040962474936,0.14011451667228023,0.08521512870551064,0.7863145258103241,0.870219690805533,0.6421568627450981,0.7613299931678433,0.09231220084008987,0.7934138309549945,0.8038661008958039
Dhivehi,0.3107026386006522,0.35948371483311486,0.3022370299857211,0.08656957928802589,0.06219081272084806,0.2770246291433033,0.49230769230769234,0.30894903682028774,0.35551641715939114,0.3333333333333333,0.23813643104300544,0.059277304100690216,0.10441582336706531,0.25071090047393363,0.2953231292517007,0.17916260954235638,0.2406526172671652,0.22642022288665398,0.2725005936832106,0.3915021459227468,0.30828433068142513,0.10741907762818677,0.3602784326933872,0.2746027320880959,0.05402160864345738,0.08177379983726607,0.07492997198879552,0.10407652015486221,0.29764579466640617,0.05686059275521405,0.09665252239509665
Dutch,0.9401867773495405,0.9458505596450539,0.9400285578296049,0.10841423948220065,0.30247349823321557,0.9279579814039322,0.6461538461538462,0.9430626676420385,0.9257768272738709,0.9401709401709402,0.356401384083045,0.30491270807957777,0.32865685372585096,0.8322274881516588,0.9016156462585034,0.40837390457643624,0.8966689326988443,0.867627072574069,0.8959867014960817,0.9343347639484979,0.9291767554479419,0.27771412202807216,0.9417312226338834,0.907908186971471,0.24709883953581432,0.322213181448332,0.29481792717086835,0.3709861079480756,0.9190192439191169,0.2531284302963776,0.3257897218293258
Dutch (Zeeuws),0.5635191224429291,0.6211555914086921,0.6045930509281294,0.02669902912621359,0.04734982332155477,0.5245936546241748,0.2153846153846154,0.530480370641307,0.5981884513775317,0.6816239316239316,0.17066238260009886,0.02639058059277304,0.1289481754063171,0.566350710900474,0.5526360544217687,0.1789678675754625,0.557443915703603,0.4776433813536287,0.5078366183804321,0.58068669527897,0.563472846765825,0.10784875393869951,0.6845177949927024,0.5019979555803364,0.035414165666266505,0.05614320585842148,0.03571428571428571,0.11136415395126395,0.5386343655367783,0.03490669593852909,0.06647807637906648
